73,27,52,102
74,27,206,312
76,27,210,312
77,27,106,156
79,27,106,162
80,27,214,324
29,28,76,150
31,28,154,228
33,28,234,234
37,28,162,240
39,28,246,246
41,28,166,252
43,28,170,252
45,28,86,86
47,28,88,174
51,28,270,270
53,28,182,276
55,28,186,276
57,28,94,94
59,28,190,288
61,28,194,288
65,28,100,198
67,28,202,300
69,28,306,306
71,28,206,312
73,28,210,312
75,28,318,318
79,28,218,324
81,28,330,330
83,28,112,222
30,29,78,78
31,29,40,78
32,29,158,240
33,29,120,120
34,29,80,162
35,29,82,120
36,29,246,246
37,29,82,126
38,29,84,166
39,29,126,126
40,29,84,170
41,29,86,126
42,29,258,258
43,29,86,132
44,29,88,174
45,29,132,132
46,29,178,264
47,29,44,90
48,29,90,90
49,29,46,90
50,29,182,276
51,29,46,46
52,29,92,186
53,29,94,138
54,29,282,282
55,29,94,144
56,29,96,190
57,29,144,144
59,29,98,144
60,29,294,294
61,29,98,150
62,29,198,300
63,29,150,150
64,29,202,300
65,29,102,150
66,29,306,306
67,29,52,102
68,29,206,312
69,29,156,156
70,29,210,312
71,29,106,156
72,29,318,318
73,29,106,162
74,29,214,324
75,29,162,162
76,29,218,324
77,29,54,110
78,29,110,110
79,29,110,168
80,29,222,336
31,30,80,162
37,30,170,252
41,30,88,174
43,30,178,264
47,30,182,276
49,30,186,276
53,30,190,288
59,30,198,300
61,30,202,300
67,30,210,312
71,30,214,324
73,30,218,324
77,30,222,336
79,30,112,226
83,30,116,230
89,30,238,360
32,31,166,252
33,31,42,42
34,31,170,252
35,31,86,126
36,31,258,258
37,31,86,132
38,31,88,174
39,31,44,44
40,31,178,264
41,31,90,132
42,31,270,270
43,31,46,90
44,31,182,276
45,31,138,138
46,31,92,186
47,31,94,138
48,31,282,282
49,31,94,144
50,31,190,288
51,31,48,48
52,31,194,288
53,31,98,144
54,31,294,294
55,31,98,150
56,31,100,198
57,31,150,150
58,31,100,202
59,31,50,102
60,31,306,306
61,31,102,156
63,31,156,156
64,31,104,210
65,31,106,156
66,31,318,318
67,31,106,162
68,31,214,324
69,31,162,162
70,31,108,218
71,31,110,162
72,31,110,110
73,31,110,168
74,31,222,336
75,31,56,56
76,31,226,336
77,31,56,114
78,31,342,342
79,31,58,114
80,31,230,348
81,31,174,174
82,31,234,348
33,32,258,258
35,32,88,174
37,32,178,264
39,32,270,270
41,32,182,276
43,32,186,276
45,32,282,282
47,32,190,288
49,32,194,288
51,32,98,98
53,32,100,198
55,32,202,300
57,32,306,306
59,32,206,312
61,32,104,210
63,32,106,106
65,32,214,324
67,32,218,324
69,32,330,330
71,32,222,336
73,32,226,336
75,32,342,342
77,32,230,348
79,32,234,348
81,32,354,354
83,32,238,360
85,32,242,360
87,32,366,366
89,32,246,372
91,32,250,372
93,32,378,378
95,32,254,384
34,33,178,264
35,33,44,90
37,33,46,90
38,33,182,276
40,33,186,276
41,33,94,138
43,33,94,144
46,33,194,288
47,33,98,144
49,33,98,150
50,33,100,198
52,33,202,300
53,33,102,150
56,33,206,312
58,33,210,312
59,33,106,156
61,33,54,106
62,33,108,214
64,33,218,324
65,33,110,162
67,33,110,168
68,33,112,222
70,33,112,226
71,33,114,168
73,33,114,174
74,33,116,230
76,33,116,234
79,33,118,180
80,33,238,360
82,33,242,360
83,33,122,180
85,33,122,186
86,33,246,372
89,33,62,126
91,33,126,192
92,33,254,384
94,33,128,258
95,33,130,192
97,33,130,198
98,33,262,396
35,34,182,276
37,34,92,186
39,34,282,282
41,34,190,288
43,34,194,288
45,34,98,98
47,34,198,300
49,34,202,300
53,34,206,312
55,34,104,210
57,34,318,318
59,34,214,324
61,34,218,324
63,34,330,330
65,34,112,222
67,34,226,336
69,34,114,114
71,34,230,348
73,34,234,348
75,34,354,354
77,34,238,360
79,34,120,242
81,34,366,366
83,34,246,372
87,34,126,126
89,34,254,384
91,34,258,384
93,34,390,390
95,34,262,396
97,34,266,396
99,34,402,402
101,34,136,270
36,35,282,282
37,35,94,144
38,35,190,288
39,35,144,144
41,35,98,144
43,35,98,150
44,35,198,300
46,35,100,202
47,35,102,150
48,35,306,306
51,35,156,156
52,35,104,210
53,35,106,156
54,35,318,318
57,35,162,162
58,35,218,324
59,35,110,162
61,35,110,168
62,35,222,336
64,35,226,336
66,35,342,342
67,35,58,114
68,35,230,348
69,35,174,174
71,35,118,174
72,35,354,354
73,35,118,180
74,35,238,360
76,35,242,360
78,35,366,366
79,35,122,186
81,35,62,62
