14	37	252	166	
14	39	174	88	
14	41	276	182	
14	43	288	190	
14	45	198	100	
14	47	312	206	
14	51	222	112	
14	53	230	116	
14	55	360	238	
14	57	246	124	
14	59	384	254	
14	61	396	262	
14	65	420	278	
14	67	432	286	
14	69	294	148	
14	71	456	302	
15	16	42	42	
15	17	66	66	
15	19	72	72	
15	22	162	162	
15	23	84	84	
15	26	186	186	
15	28	198	198	
15	29	102	102	
15	31	36	36	
15	32	74	74	
15	34	78	78	
15	37	126	126	
15	38	258	258	
15	41	46	46	
15	43	144	144	
15	44	294	294	
15	46	306	306	
15	47	156	156	
15	49	54	54	
15	52	342	342	
15	53	174	174	
15	56	122	122	
15	58	126	126	
15	59	64	64	
15	61	198	198	
16	17	90	44	
16	19	144	98	
16	21	156	106	
16	23	114	56	
16	25	180	122	
16	27	192	130	
16	29	138	68	
16	31	216	146	
16	33	228	154	
16	35	240	162	
16	37	252	170	
16	39	264	178	
16	41	276	186	
16	43	288	194	
16	45	300	202	
16	47	312	210	
16	49	324	218	
16	51	336	226	
16	53	348	234	
16	55	360	242	
16	57	372	250	
16	59	384	258	
16	61	396	266	
16	63	408	274	
16	65	420	282	
17	18	144	94	
17	19	72	50	
17	20	102	52	
17	21	54	26	
17	22	168	110	
17	23	84	58	
17	24	180	118	
17	25	90	62	
17	26	126	64	
17	27	66	32	
17	28	204	134	
17	29	102	70	
17	30	216	142	
17	31	108	74	
17	32	150	76	
17	33	78	38	
17	35	120	82	
17	36	252	166	
17	37	86	42	
17	38	264	174	
17	39	90	44	
17	40	276	182	
17	41	138	94	
17	42	288	190	
17	43	98	48	
18	19	150	150	
18	23	58	58	
18	25	186	186	
18	29	210	210	
18	31	222	222	
18	35	246	246	
18	37	258	258	
18	41	282	282	
18	43	98	98	
18	47	106	106	
18	49	330	330	
18	53	354	354	
18	55	366	366	
18	59	390	390	
18	61	134	134	
18	65	142	142	
18	67	438	438	
18	71	462	462	
18	73	474	474	
18	77	498	498	
18	79	510	510	
18	83	534	534	
18	85	182	182	
18	89	570	570	
18	91	582	582	
